Name,League#,Date Joined,Birthday,Hometown,State,Preference1,Preference2,Preference3,Preference4,Preference5,Preference6,Preference7,Preference8
"Chan, Lydia P.",1138,21-Jun-02,9/22/1992,Frankfort,KY,Car,Ship,Thimble,Top Hat,Dog,Wheelbarrow,Shoe,Iron
"Fisher, Cade K.",1139,10-Aug-03,6/21/1988,Frederick,MD,Top Hat,Iron,Ship,Shoe,Dog,Wheelbarrow,Thimble,Car
"Christian, Yuli S.",1140,25-Oct-03,4/20/1951,Gaithersburg,MD,Car,Top Hat,Wheelbarrow,Ship,Iron,Thimble,Dog,Shoe
"Bowen, Hadassah P.",1141,27-Apr-04,8/21/1978,Grand Island,NE,Car,Shoe,Ship,Top Hat,Dog,Thimble,Iron,Wheelbarrow
"Snow, Roth F.",1142,22-Apr-07,3/19/1997,Grand Rapids,MI,Top Hat,Dog,Thimble,Iron,Car,Wheelbarrow,Ship,Shoe
"Lyons, Ivan L.",1143,1-Sep-18,1/16/1967,Grand Rapids,MI,Wheelbarrow,Ship,Iron,Top Hat,Dog,Shoe,Car,Thimble
"Beasley, McKenzie J.",1144,24-Dec-19,10/15/1967,Great Falls,MT,Thimble,Car,Top Hat,Dog,Iron,Ship,Wheelbarrow,Shoe
"Hardy, Myles R.",1145,22-Aug-19,9/24/1952,Green Bay,WI,Iron,Shoe,Dog,Thimble,Car,Wheelbarrow,Ship,Top Hat
"Lewis, Erich O.",1146,25-Jul-07,4/25/1966,Gulfport,MS,Thimble,Ship,Wheelbarrow,Iron,Shoe,Top Hat,Dog,Car
"Bowen, Gail L.",1147,10-Jan-05,7/5/1956,Harrisburg,PA,Car,Iron,Top Hat,Ship,Dog,Wheelbarrow,Thimble,Shoe
"Tillman, Quinn O.",1148,4-Feb-02,2/12/1972,Hartford,CT,Top Hat,Wheelbarrow,Dog,Car,Iron,Shoe,Ship,Thimble
"Gaines, Jared C.",1149,8-Nov-15,5/5/1997,Helena,MT,Car,Top Hat,Thimble,Iron,Dog,Wheelbarrow,Shoe,Ship
"Rivas, Gage E.",1150,19-Jul-11,8/4/1976,Houston,TX,Wheelbarrow,Car,Iron,Ship,Dog,Shoe,Thimble,Top Hat
"Rowe, Kerry I.",1151,10-Apr-07,8/24/1974,Huntsville,AL,Wheelbarrow,Ship,Top Hat,Thimble,Shoe,Dog,Car,Iron
"Albert, Sawyer Z.",1152,10-Mar-10,9/23/1987,Huntsville,AL,Ship,Iron,Car,Top Hat,Shoe,Dog,Thimble,Wheelbarrow
"Christensen, Alfonso B.",1153,15-Jul-13,3/19/1995,Huntsville,AL,Wheelbarrow,Iron,Car,Top Hat,Shoe,Thimble,Dog,Ship
"Griffin, Kathleen T.",1154,28-Sep-17,8/25/1968,Huntsville,AL,Wheelbarrow,Ship,Dog,Shoe,Iron,Car,Top Hat,Thimble
"Snow, Brody M.",1155,6-Jun-07,3/18/2000,Indianapolis,IN,Ship,Top Hat,Wheelbarrow,Shoe,Dog,Car,Iron,Thimble
"Mckee, Kevyn D.",1156,9-Aug-10,8/18/1971,Joliet,IL,Top Hat,Ship,Iron,Shoe,Wheelbarrow,Dog,Thimble,Car
"Jennings, Willa E.",1157,5-Jun-02,9/1/1992,Jonesboro,AR,Top Hat,Shoe,Car,Thimble,Iron,Ship,Wheelbarrow,Dog
"Herring, Aidan K.",1158,31-May-06,8/23/1981,Jonesboro,AR,Shoe,Dog,Thimble,Ship,Car,Iron,Wheelbarrow,Top Hat
"Koch, Ralph Z.",1159,21-May-16,6/6/1969,Jonesboro,AR,Top Hat,Ship,Shoe,Car,Wheelbarrow,Dog,Iron,Thimble
"Mckee, Deanna F.",1160,2-Feb-03,3/17/1971,Juneau,AK,Top Hat,Car,Ship,Thimble,Shoe,Iron,Dog,Wheelbarrow
"Tucker, Edan A.",1161,28-Jul-05,3/22/1961,Kansas City,MO,Ship,Dog,Top Hat,Car,Wheelbarrow,Iron,Shoe,Thimble
"Watson, Piper K.",1162,7-Sep-05,2/8/1992,Kansas City,MO,Wheelbarrow,Top Hat,Car,Dog,Iron,Thimble,Ship,Shoe
"Castaneda, Otto M.",1163,15-Feb-20,10/26/1973,Kansas City,KS,Shoe,Top Hat,Wheelbarrow,Iron,Car,Dog,Thimble,Ship
"Gray, Brian J.",1164,7-Dec-07,8/26/1973,Kearney,NE,Ship,Shoe,Thimble,Iron,Car,Wheelbarrow,Dog,Top Hat
"Cole, Karen R.",1165,30-Jan-22,12/19/1979,Kearney,NE,Thimble,Ship,Iron,Car,Shoe,Wheelbarrow,Dog,Top Hat
"Larson, Zephr U.",1166,1-Jan-12,3/27/1953,Lafayette,LA,Iron,Wheelbarrow,Shoe,Car,Top Hat,Thimble,Ship,Dog
"Bright, Tamara S.",1167,22-Aug-08,2/15/1994,Lewiston,ME,Top Hat,Shoe,Thimble,Iron,Dog,Ship,Wheelbarrow,Car
"Black, Deacon M.",1168,23-Jan-11,5/9/1984,Little Rock,AR,Car,Dog,Wheelbarrow,Shoe,Top Hat,Iron,Ship,Thimble
"Pollard, Selma N.",1169,4-Mar-09,8/24/1992,Los Angeles,CA,Car,Top Hat,Iron,Thimble,Dog,Ship,Wheelbarrow,Shoe
"Sanders, Karina A.",1170,27-Jun-06,7/31/2000,Madison,WI,Top Hat,Car,Iron,Thimble,Wheelbarrow,Shoe,Ship,Dog
"Knowles, Jermaine L.",1171,6-Mar-08,7/24/1950,Madison,WI,Top Hat,Dog,Ship,Iron,Car,Shoe,Thimble,Wheelbarrow
"Pate, Serena J.",1172,3-Nov-15,2/28/1983,Minneapolis,MN,Ship,Shoe,Wheelbarrow,Car,Thimble,Iron,Dog,Top Hat
"Duke, Lev T.",1173,9-Mar-19,11/16/1950,Minneapolis,MN,Thimble,Shoe,Iron,Top Hat,Dog,Ship,Wheelbarrow,Car
"Fleming, Serina I.",1174,30-Jul-04,2/7/1966,Mobile,AL,Dog,Wheelbarrow,Iron,Top Hat,Shoe,Ship,Car,Thimble
"Lang, Nadine A.",1175,17-Oct-17,8/13/1960,Montgomery,AL,Car,Iron,Shoe,Ship,Wheelbarrow,Thimble,Dog,Top Hat
"Torres, Cyrus B.",1176,25-Jul-21,6/18/1990,Naperville,IL,Dog,Top Hat,Thimble,Shoe,Wheelbarrow,Ship,Car,Iron
"Wagner, Octavius J.",1177,2-Jul-01,4/17/1956,Newport News,VA,Top Hat,Ship,Wheelbarrow,Shoe,Car,Iron,Thimble,Dog
"Wallace, Lois H.",1178,7-Jun-07,6/14/1953,Newport News,VA,Wheelbarrow,Ship,Iron,Top Hat,Dog,Shoe,Car,Thimble
"Fulton, Karina B.",1179,9-Oct-03,8/19/1991,Norman,OK,Ship,Top Hat,Dog,Thimble,Iron,Car,Wheelbarrow,Shoe
"Valenzuela, Maris A.",1180,2-May-04,1/30/1972,Norman,OK,Dog,Iron,Wheelbarrow,Ship,Thimble,Shoe,Top Hat,Car
"Dawson, Quinn E.",1181,29-Jan-08,2/14/1962,Oklahoma City,OK,Dog,Shoe,Wheelbarrow,Ship,Car,Top Hat,Thimble,Iron
"Newton, Jonah G.",1182,27-Sep-18,12/9/1965,Olathe,KS,Thimble,Shoe,Dog,Iron,Car,Ship,Top Hat,Wheelbarrow
"Puckett, Maite J.",1183,14-Apr-13,11/26/1982,Omaha,NE,Iron,Thimble,Dog,Top Hat,Ship,Shoe,Wheelbarrow,Car
"Irwin, Brent K.",1184,15-Jul-19,11/8/1952,Owensboro,KY,Iron,Ship,Shoe,Thimble,Car,Top Hat,Wheelbarrow,Dog
"Brennan, Maile F.",1185,7-May-20,2/16/1973,Philadelphia,PA,Shoe,Car,Wheelbarrow,Dog,Ship,Thimble,Iron,Top Hat
"Holden, Isabella J.",1186,29-Dec-03,10/2/1967,Pocatello,ID,Thimble,Dog,Iron,Shoe,Ship,Car,Wheelbarrow,Top Hat
"Horn, Patrick D.",1187,11-Feb-05,5/17/1961,Provo,UT,Iron,Dog,Car,Ship,Thimble,Shoe,Wheelbarrow,Top Hat
"Rutledge, Hop X.",1188,6-Mar-03,4/25/1982,Reading,PA,Top Hat,Thimble,Dog,Ship,Iron,Wheelbarrow,Shoe,Car
"Dyer, Irma W.",1189,4-Mar-07,2/27/1963,Rock Springs,WY,Thimble,Dog,Wheelbarrow,Top Hat,Shoe,Car,Ship,Iron
"Perkins, Zenaida I.",1190,19-Dec-07,3/8/1952,Rockford,IL,Iron,Dog,Ship,Car,Wheelbarrow,Top Hat,Thimble,Shoe
"Nolan, Garth W.",1191,26-Nov-02,7/28/1966,Rockville,MD,Shoe,Thimble,Top Hat,Dog,Ship,Car,Iron,Wheelbarrow
"Becker, Alexander Z.",1192,9-Aug-02,4/5/1985,Sacramento,CA,Car,Iron,Shoe,Thimble,Ship,Wheelbarrow,Top Hat,Dog
"Hansen, Jasmine T.",1193,14-Feb-08,1/2/2002,Saint Paul,MN,Iron,Car,Wheelbarrow,Ship,Shoe,Top Hat,Dog,Thimble
"Booker, Yen K.",1194,9-Nov-10,9/1/1983,San Francisco,CA,Wheelbarrow,Ship,Car,Top Hat,Shoe,Thimble,Iron,Dog
"Mcdaniel, Akeem T.",1195,2-Mar-16,2/29/1968,San Francisco,CA,Wheelbarrow,Top Hat,Shoe,Iron,Thimble,Dog,Ship,Car
"Huffman, Lucas V.",1196,16-Aug-05,2/14/1966,Sioux City,IA,Ship,Dog,Top Hat,Thimble,Car,Iron,Wheelbarrow,Shoe
"Haley, Tanek G.",1197,30-Mar-05,12/18/1972,South Bend,IN,Car,Ship,Thimble,Wheelbarrow,Dog,Iron,Top Hat,Shoe
"Flowers, Germane V.",1198,8-Mar-03,2/23/1972,South Burlington,VT,Car,Thimble,Top Hat,Iron,Wheelbarrow,Dog,Ship,Shoe
"Shepard, Cade G.",1199,11-Aug-02,8/3/1954,South Portland,ME,Top Hat,Shoe,Dog,Ship,Thimble,Car,Iron,Wheelbarrow
"Wise, Sebastian I.",1200,8-Jul-06,3/22/1975,South Portland,ME,Top Hat,Dog,Ship,Thimble,Wheelbarrow,Iron,Car,Shoe
"Williams, Doris L.",1201,19-Jun-10,8/15/1951,South Portland,ME,Shoe,Car,Ship,Wheelbarrow,Thimble,Top Hat,Dog,Iron
"Charles, Deacon L.",1202,16-Dec-08,7/4/1977,Southaven,MS,Dog,Top Hat,Thimble,Ship,Wheelbarrow,Iron,Shoe,Car
"Lee, Madeline Q.",1203,4-May-05,9/17/1955,Springfield,MA,Wheelbarrow,Top Hat,Shoe,Thimble,Dog,Ship,Car,Iron
"Gibson, Mannix N.",1204,7-Jun-17,5/17/1980,Springfield,MA,Shoe,Car,Dog,Thimble,Ship,Top Hat,Iron,Wheelbarrow
"Robertson, Dawn I.",1205,19-May-16,9/6/1973,Tallahassee,FL,Shoe,Car,Iron,Dog,Top Hat,Ship,Thimble,Wheelbarrow
"Tillman, Hakeem H.",1206,16-Jan-18,5/16/1987,Tallahassee,FL,Wheelbarrow,Top Hat,Dog,Ship,Shoe,Car,Thimble,Iron
"Finch, Zelenia K.",1207,1-May-12,6/1/1952,Toledo,OH,Shoe,Thimble,Car,Iron,Ship,Top Hat,Dog,Wheelbarrow
"Leach, Ima Y.",1208,19-Oct-02,12/2/1970,Tuscaloosa,AL,Top Hat,Ship,Thimble,Wheelbarrow,Iron,Dog,Car,Shoe
"Sheppard, Amir D.",1209,25-Oct-14,5/28/1985,West Jordan,UT,Dog,Ship,Shoe,Top Hat,Car,Wheelbarrow,Iron,Thimble
"Flores, Ronan X.",1210,21-Sep-16,7/18/1993,Worcester,MA,Dog,Wheelbarrow,Ship,Car,Iron,Thimble,Shoe,Top Hat
