Name,League#,Date Joined,Birthday,Hometown,State,Preference1,Preference2,Preference3,Preference4,Preference5,Preference6,Preference7,Preference8
"Tucker, Edan A.",16780228 9012,28-Jul-05,3/22/1961,Kansas City,MO,Ship,Dog,Top Hat,Car,Wheelbarrow,Iron,Shoe,Thimble
"Watson, Piper K.",16470518 4556,7-Sep-05,2/8/1992,Kansas City,MO,Wheelbarrow,Top Hat,Car,Dog,Iron,Thimble,Ship,Shoe
"Castaneda, Otto M.",16420803 0397,15-Feb-20,10/26/1973,Kansas City,KS,Shoe,Top Hat,Wheelbarrow,Iron,Car,Dog,Thimble,Ship
"Gray, Brian J.",16880618 1411,7-Dec-07,8/26/1973,Kearney,NE,Ship,Shoe,Thimble,Iron,Car,Wheelbarrow,Dog,Top Hat
"Cole, Karen R.",16730630 5355,30-Jan-22,12/19/1979,Kearney,NE,Thimble,Ship,Iron,Car,Shoe,Wheelbarrow,Dog,Top Hat
"Larson, Zephr U.",16520903 9550,1-Jan-12,3/27/1953,Lafayette,LA,Iron,Wheelbarrow,Shoe,Car,Top Hat,Thimble,Ship,Dog
"Bright, Tamara S.",16170518 5492,22-Aug-08,2/15/1994,Lewiston,ME,Top Hat,Shoe,Thimble,Iron,Dog,Ship,Wheelbarrow,Car
"Black, Deacon M.",16330119 4043,23-Jan-11,5/9/1984,Little Rock,AR,Car,Dog,Wheelbarrow,Shoe,Top Hat,Iron,Ship,Thimble
"Pollard, Selma N.",16350921 0930,4-Mar-09,8/24/1992,Los Angeles,CA,Car,Top Hat,Iron,Thimble,Dog,Ship,Wheelbarrow,Shoe
"Sanders, Karina A.",16130826 2920,27-Jun-06,7/31/2000,Madison,WI,Top Hat,Car,Iron,Thimble,Wheelbarrow,Shoe,Ship,Dog
"Knowles, Jermaine L.",16780308 5146,6-Mar-08,7/24/1950,Madison,WI,Top Hat,Dog,Ship,Iron,Car,Shoe,Thimble,Wheelbarrow
"Pate, Serena J.",16590907 6019,3-Nov-15,2/28/1983,Minneapolis,MN,Ship,Shoe,Wheelbarrow,Car,Thimble,Iron,Dog,Top Hat
"Duke, Lev T.",16771123 3762,9-Mar-19,11/16/1950,Minneapolis,MN,Thimble,Shoe,Iron,Top Hat,Dog,Ship,Wheelbarrow,Car
"Fleming, Serina I.",16810429 2209,30-Jul-04,2/7/1966,Mobile,AL,Dog,Wheelbarrow,Iron,Top Hat,Shoe,Ship,Car,Thimble
"Lang, Nadine A.",16070618 9552,17-Oct-17,8/13/1960,Montgomery,AL,Car,Iron,Shoe,Ship,Wheelbarrow,Thimble,Dog,Top Hat
"Torres, Cyrus B.",16640905 2989,25-Jul-21,6/18/1990,Naperville,IL,Dog,Top Hat,Thimble,Shoe,Wheelbarrow,Ship,Car,Iron
"Wagner, Octavius J.",16251220 1365,2-Jul-01,4/17/1956,Newport News,VA,Top Hat,Ship,Wheelbarrow,Shoe,Car,Iron,Thimble,Dog
"Wallace, Lois H.",16131230 5145,7-Jun-07,6/14/1953,Newport News,VA,Wheelbarrow,Ship,Iron,Top Hat,Dog,Shoe,Car,Thimble
"Fulton, Karina B.",16580416 0017,9-Oct-03,8/19/1991,Norman,OK,Ship,Top Hat,Dog,Thimble,Iron,Car,Wheelbarrow,Shoe
"Valenzuela, Maris A.",16670302 7364,2-May-04,1/30/1972,Norman,OK,Dog,Iron,Wheelbarrow,Ship,Thimble,Shoe,Top Hat,Car
"Dawson, Quinn E.",16160327 5312,29-Jan-08,2/14/1962,Oklahoma City,OK,Dog,Shoe,Wheelbarrow,Ship,Car,Top Hat,Thimble,Iron
"Newton, Jonah G.",16600315 7234,27-Sep-18,12/9/1965,Olathe,KS,Thimble,Shoe,Dog,Iron,Car,Ship,Top Hat,Wheelbarrow
"Puckett, Maite J.",16410426 5881,14-Apr-13,11/26/1982,Omaha,NE,Iron,Thimble,Dog,Top Hat,Ship,Shoe,Wheelbarrow,Car
"Irwin, Brent K.",16760302 5904,15-Jul-19,11/8/1952,Owensboro,KY,Iron,Ship,Shoe,Thimble,Car,Top Hat,Wheelbarrow,Dog
"Brennan, Maile F.",16990806 3085,7-May-20,2/16/1973,Philadelphia,PA,Shoe,Car,Wheelbarrow,Dog,Ship,Thimble,Iron,Top Hat
"Holden, Isabella J.",16450727 2138,29-Dec-03,10/2/1967,Pocatello,ID,Thimble,Dog,Iron,Shoe,Ship,Car,Wheelbarrow,Top Hat
"Horn, Patrick D.",16780428 6917,11-Feb-05,5/17/1961,Provo,UT,Iron,Dog,Car,Ship,Thimble,Shoe,Wheelbarrow,Top Hat
"Rutledge, Hop X.",16011118 0550,6-Mar-03,4/25/1982,Reading,PA,Top Hat,Thimble,Dog,Ship,Iron,Wheelbarrow,Shoe,Car
"Dyer, Irma W.",16410127 9398,4-Mar-07,2/27/1963,Rock Springs,WY,Thimble,Dog,Wheelbarrow,Top Hat,Shoe,Car,Ship,Iron
"Perkins, Zenaida I.",16450611 7276,19-Dec-07,3/8/1952,Rockford,IL,Iron,Dog,Ship,Car,Wheelbarrow,Top Hat,Thimble,Shoe
"Nolan, Garth W.",16750614 6583,26-Nov-02,7/28/1966,Rockville,MD,Shoe,Thimble,Top Hat,Dog,Ship,Car,Iron,Wheelbarrow
"Becker, Alexander Z.",16150116 8205,9-Aug-02,4/5/1985,Sacramento,CA,Car,Iron,Shoe,Thimble,Ship,Wheelbarrow,Top Hat,Dog
"Hansen, Jasmine T.",16750921 2192,14-Feb-08,1/2/2002,Saint Paul,MN,Iron,Car,Wheelbarrow,Ship,Shoe,Top Hat,Dog,Thimble
"Booker, Yen K.",16031114 1170,9-Nov-10,9/1/1983,San Francisco,CA,Wheelbarrow,Ship,Car,Top Hat,Shoe,Thimble,Iron,Dog
"Mcdaniel, Akeem T.",16180801 8269,2-Mar-16,2/29/1968,San Francisco,CA,Wheelbarrow,Top Hat,Shoe,Iron,Thimble,Dog,Ship,Car
"Huffman, Lucas V.",16801009 9441,16-Aug-05,2/14/1966,Sioux City,IA,Ship,Dog,Top Hat,Thimble,Car,Iron,Wheelbarrow,Shoe
"Haley, Tanek G.",16191014 7105,30-Mar-05,12/18/1972,South Bend,IN,Car,Ship,Thimble,Wheelbarrow,Dog,Iron,Top Hat,Shoe
"Flowers, Germane V.",16650314 7073,8-Mar-03,2/23/1972,South Burlington,VT,Car,Thimble,Top Hat,Iron,Wheelbarrow,Dog,Ship,Shoe
"Shepard, Cade G.",16110813 2158,11-Aug-02,8/3/1954,South Portland,ME,Top Hat,Shoe,Dog,Ship,Thimble,Car,Iron,Wheelbarrow
"Wise, Sebastian I.",16540516 5670,8-Jul-06,3/22/1975,South Portland,ME,Top Hat,Dog,Ship,Thimble,Wheelbarrow,Iron,Car,Shoe
"Williams, Doris L.",16530410 7211,19-Jun-10,8/15/1951,South Portland,ME,Shoe,Car,Ship,Wheelbarrow,Thimble,Top Hat,Dog,Iron
"Charles, Deacon L.",16310103 1841,16-Dec-08,7/4/1977,Southaven,MS,Dog,Top Hat,Thimble,Ship,Wheelbarrow,Iron,Shoe,Car
"Lee, Madeline Q.",16410418 0858,4-May-05,9/17/1955,Springfield,MA,Wheelbarrow,Top Hat,Shoe,Thimble,Dog,Ship,Car,Iron
"Gibson, Mannix N.",16561119 2831,7-Jun-17,5/17/1980,Springfield,MA,Shoe,Car,Dog,Thimble,Ship,Top Hat,Iron,Wheelbarrow
"Robertson, Dawn I.",16060405 9758,19-May-16,9/6/1973,Tallahassee,FL,Shoe,Car,Iron,Dog,Top Hat,Ship,Thimble,Wheelbarrow
"Tillman, Hakeem H.",16811020 6995,16-Jan-18,5/16/1987,Tallahassee,FL,Wheelbarrow,Top Hat,Dog,Ship,Shoe,Car,Thimble,Iron
"Finch, Zelenia K.",16661022 4328,1-May-12,6/1/1952,Toledo,OH,Shoe,Thimble,Car,Iron,Ship,Top Hat,Dog,Wheelbarrow
"Leach, Ima Y.",16030101 8487,19-Oct-02,12/2/1970,Tuscaloosa,AL,Top Hat,Ship,Thimble,Wheelbarrow,Iron,Dog,Car,Shoe
"Sheppard, Amir D.",16790414 3331,25-Oct-14,5/28/1985,West Jordan,UT,Dog,Ship,Shoe,Top Hat,Car,Wheelbarrow,Iron,Thimble
"Flores, Ronan X.",16081012 4875,21-Sep-16,7/18/1993,Worcester,MA,Dog,Wheelbarrow,Ship,Car,Iron,Thimble,Shoe,Top Hat
